ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
4914 KENNEDY BLVD W,WEST NEW YORK,NJ,07093,40.78329350000001,-74.0222644
7198 PIPPIN RD,CINCINNATI,OH,45239,39.211998,-84.573081
1 TURKS PLACE SUITE 505,PROVIDENCE,RI,02903,41.824982,-71.4149234
201 POSEY AVE,CLIFTON,TX,76634,31.7764944,-97.58890579999999
255 CABIN CREEK RD,MANCHESTER,OH,45144,38.7017749,-83.63321529999999
2155 N STATE ROAD 7,MARGATE,FL,33063,26.256007,-80.2020165
6500 FAIRMONT AVENUE,EL CERRITO,CA,94530,37.9008867,-122.300698
15050 ELDERBERRY LN,FORT MYERS,FL,33907,26.5234302,-81.8877375
888 COUNTY RD D WEST STE #104,NEW BRIGHTON,MN,55112,45.0361503,-93.20037470000001
7065 HAYVENHURST AVE,VAN NUYS,CA,91406,34.199345,-118.4928778
10415 HICKORY PATH WAY,KNOXVILLE,TN,37922,35.8984954,-84.12680139999999
79 ROYAL PALM PT,VERO BEACH,FL,32960,27.6452518,-80.387352
4421 W RIVERSIDE DR,BURBANK,CA,91505,34.1525369,-118.3487544
1135 SHERMAN AVE,HAMDEN,CT,06514,41.3953544,-72.92143070000002
7250 VALJEAN AVE,VAN NUYS,CA,91406,34.2026609,-118.4857784
5051 CASTELLO DR,NAPLES,FL,34103,26.2081252,-81.7981885
2851 S PARKER RD TOWER 1,AURORA,CO,80014,39.66455089999999,-104.8611959
316 WILTSHIRE BLVD,LEWISVILLE,TX,75056,33.0679662,-96.88019249999999
8627 CRESCENT SPUR DR,RICHMOND,TX,77406,29.6528218,-95.7529199
"CARR 2 KM 26.2, ESPINOSA WARD",DORADO,PR,00646,18.4338329,-66.6134544
456 SUITE B MARKET PLACE MALL,WESTON,WV,26452,39.0196359,-80.4192936
3906 W INA RD,TUCSON,AZ,85741,32.3386233,-111.0495682
6161 BUSCH BLVD. STE 079,COLUMBUS,OH,43229,40.0916849,-82.993644
8323 TROPHY PLACE DR,HUMBLE,TX,77346,29.9889671,-95.1510639
699 BLOOMFIELD AVE,BLOOMFIELD,CT,06002,41.8277003,-72.7378174
8771 COLLEGE PKWY,FORT MYERS,FL,33919,26.5560803,-81.9000176
12421 N. FLORIDA AVE SUITE 111C,TAMPA,FL,33612,28.0610934,-82.45868709999999
635 W HIGHWAY 50,CLERMONT,FL,34711,28.5509623,-81.7661197
3170 N FEDERAL HWY,LIGHTHOUSE POINT,FL,33064,26.2705284,-80.09757599999999
50 OLD VILLAGE RD,COLUMBUS,OH,43228,39.953691,-83.1233606
3016 N US HIGHWAY 301,TAMPA,FL,33619,27.9715968,-82.36110760000001
2345 SOUTHEM BLVD SE,RIO RANCHO,NM,87124,35.2422067,-106.6895811
2101 VISTA PKWY,WEST PALM BEACH,FL,33411,26.7147449,-80.1511168
1800 CORPORATE DR,BIRMINGHAM,AL,35242,33.4151058,-86.67600039999999
8147 COPERNICUS WAY,TRINITY,FL,34655,28.210436,-82.679146
1060 NC HIGHWAY 86 N,YANCEYVILLE,NC,27379,36.408308,-79.337637
